g                       1             2             3             4
pressure                                                           
0.000312     1.538294e-23  1.816379e-21  3.789404e-20  3.973674e-18
0.000750     1.548571e-23  1.820049e-21  3.805287e-20  3.973667e-18
0.001052     1.570084e-23  1.827772e-21  3.838962e-20  3.973615e-18
0.001476     1.593356e-23  1.836102e-21  3.874891e-20  3.973557e-18
0.002070     1.617228e-23  1.844618e-21  3.911160e-20  3.973500e-18
0.002904     1.641752e-23  1.853329e-21  3.947760e-20  3.973446e-18
0.004074     1.667027e-23  1.862261e-21  3.984722e-20  3.973400e-18
0.005714     1.693186e-23  1.871449e-21  4.022091e-20  3.973368e-18
0.008015     1.720422e-23  1.880942e-21  4.059934e-20  3.973357e-18
0.011243     1.748990e-23  1.890805e-21  4.098330e-20  3.973382e-18
0.015771     1.779247e-23  1.901129e-21  4.137395e-20  3.973457e-18
0.022122     1.811708e-23  1.912047e-21  4.177310e-20  3.973605e-18
0.031031     1.847093e-23  1.923743e-21  4.218331e-20  3.973858e-18
0.043528     1.888204e-23  1.937102e-21  4.263288e-20  3.974247e-18
0.061057     1.994757e-23  1.972725e-21  4.390965e-20  3.974431e-18
0.085645     2.286798e-23  2.070503e-21  4.737819e-20  3.973420e-18
0.120136     2.777517e-23  2.228174e-21  5.254800e-20  3.966296e-18
0.168516     3.412041e-23  2.421937e-21  5.825323e-20  3.956126e-18
0.236379     4.222747e-23  2.656277e-21  6.444360e-20  3.944746e-18
0.331549     5.258623e-23  2.937630e-21  7.112704e-20  3.931043e-18
0.465100     6.578869e-23  3.272083e-21  7.828056e-20  3.912686e-18
0.652400     8.258627e-23  3.669183e-21  8.595145e-20  3.893130e-18
0.915100     9.980784e-23  4.048452e-21  9.257895e-20  3.877837e-18
1.283650     1.056972e-22  4.163015e-21  9.412091e-20  3.881843e-18
1.800600     1.007860e-22  4.037141e-21  9.109258e-20  3.905627e-18
2.525700     9.643718e-23  3.916924e-21  8.752817e-20  3.936804e-18
3.542800     9.630662e-23  3.888670e-21  8.485316e-20  3.971369e-18
4.969550     1.017877e-22  3.992869e-21  8.372726e-20  4.006889e-18
6.970850     1.142930e-22  4.270372e-21  8.479697e-20  4.035068e-18
9.778100     1.354292e-22  4.770548e-21  8.873571e-20  4.051760e-18
13.715850    1.671738e-22  5.555016e-21  9.620937e-20  4.046527e-18
19.239350    2.129716e-22  6.724532e-21  1.084448e-19  4.004490e-18
26.987250    2.788197e-22  8.431503e-21  1.273636e-19  3.907648e-18
37.855300    3.718370e-22  1.085390e-20  1.544927e-19  3.741333e-18
53.100050    5.000203e-22  1.422566e-20  1.909854e-19  3.502848e-18
73.887501    6.703734e-22  1.874008e-20  2.361879e-19  3.196015e-18
97.662502    8.627285e-22  2.377830e-20  2.805293e-19  2.881325e-18
121.437500   1.053701e-21  2.866425e-20  3.168787e-19  2.606772e-18
145.212500   1.240810e-21  3.338531e-20  3.459745e-19  2.369086e-18
168.987500   1.428679e-21  3.794280e-20  3.687242e-19  2.164020e-18
192.762500   1.630616e-21  4.232283e-20  3.858690e-19  1.988405e-18
216.537500   1.849386e-21  4.651815e-20  3.984436e-19  1.837830e-18
240.312500   2.072669e-21  5.050145e-20  4.072491e-19  1.705768e-18
264.087500   2.297659e-21  5.429948e-20  4.132165e-19  1.589793e-18
287.862500   2.524247e-21  5.793121e-20  4.169960e-19  1.487709e-18
311.637500   2.752023e-21  6.140263e-20  4.190156e-19  1.397326e-18
335.412490   2.980621e-21  6.471994e-20  4.196195e-19  1.316862e-18
359.187500   3.209692e-21  6.788946e-20  4.190856e-19  1.244859e-18
382.962510   3.438891e-21  7.091746e-20  4.176391e-19  1.180116e-18
406.737500   3.666504e-21  7.378356e-20  4.153128e-19  1.121232e-18
430.512500   3.893087e-21  7.651552e-20  4.123910e-19  1.067778e-18
454.287490   4.118452e-21  7.912431e-20  4.090224e-19  1.019126e-18
478.062500   4.342317e-21  8.161585e-20  4.053051e-19  9.746836e-19
501.837490   4.564594e-21  8.399556e-20  4.013186e-19  9.339478e-19
525.612490   4.785327e-21  8.626846e-20  3.971281e-19  8.964918e-19
549.387510   5.004578e-21  8.843935e-20  3.927875e-19  8.619495e-19
573.162510   5.222367e-21  9.051292e-20  3.883418e-19  8.300058e-19
596.937500   5.438686e-21  9.249365e-20  3.838281e-19  8.003884e-19
620.712490   5.653508e-21  9.438591e-20  3.792772e-19  7.728605e-19
644.487490   5.866792e-21  9.619386e-20  3.747144e-19  7.472157e-19
668.262510   6.077544e-21  9.790603e-20  3.701022e-19  7.231595e-19
692.037510   6.286000e-21  9.953136e-20  3.654813e-19  7.005853e-19
715.812500   6.492747e-21  1.010838e-19  3.609055e-19  6.794312e-19
739.587490   6.697714e-21  1.025670e-19  3.563857e-19  6.595717e-19
763.362490   6.900762e-21  1.039845e-19  3.519307e-19  6.408957e-19
787.137510   7.101599e-21  1.053399e-19  3.475479e-19  6.233045e-19
810.912510   7.299593e-21  1.066374e-19  3.432431e-19  6.067110e-19
834.687500   7.493731e-21  1.078817e-19  3.390213e-19  5.910381e-19
858.462490   7.683077e-21  1.090772e-19  3.348855e-19  5.762165e-19
882.237490   7.867504e-21  1.102267e-19  3.308367e-19  5.621817e-19
906.012510   8.047784e-21  1.113309e-19  3.268745e-19  5.488736e-19
929.787510   8.224888e-21  1.123904e-19  3.229985e-19  5.362372e-19
953.562500   8.399478e-21  1.134060e-19  3.192082e-19  5.242237e-19
977.337490   8.571904e-21  1.143790e-19  3.155035e-19  5.127889e-19
1001.112500  8.742338e-21  1.153112e-19  3.118838e-19  5.018934e-19
