g                       1             2             3             4
pressure                                                           
0.000312     2.523945e-29  1.936254e-25  1.976304e-24  1.611362e-24
0.000750     9.470287e-29  7.331984e-25  1.186312e-23  3.468910e-23
0.001052     1.687218e-28  1.197178e-24  2.634462e-23  2.151945e-21
0.001476     2.329517e-28  1.546481e-24  3.357834e-23  2.655446e-21
0.002070     3.213231e-28  1.998387e-24  4.278880e-23  3.250119e-21
0.002904     4.431782e-28  2.585618e-24  5.461621e-23  3.976636e-21
0.004074     6.113803e-28  3.350872e-24  6.986513e-23  4.873855e-21
0.005714     8.437340e-28  4.350587e-24  8.958595e-23  5.988407e-21
0.008015     1.164946e-27  5.659806e-24  1.151627e-22  7.378819e-21
0.011243     1.609333e-27  7.378637e-24  1.484265e-22  9.119618e-21
0.015771     2.224607e-27  9.641034e-24  1.918083e-22  1.130642e-20
0.022122     3.077204e-27  1.262680e-23  2.485449e-22  1.406249e-20
0.031031     4.259729e-27  1.657797e-23  3.229585e-22  1.754741e-20
0.043528     5.907421e-27  2.182845e-23  4.209616e-22  2.197096e-20
0.061057     8.469620e-27  2.911029e-23  5.553536e-22  2.769198e-20
0.085645     1.317526e-26  3.985863e-23  7.504426e-22  3.524051e-20
0.120136     2.154919e-26  5.536133e-23  1.026242e-21  4.498497e-20
0.168516     3.527428e-26  7.685083e-23  1.401140e-21  5.734929e-20
0.236379     5.760034e-26  1.065669e-22  1.909188e-21  7.303959e-20
0.331549     9.378293e-26  1.475830e-22  2.595798e-21  9.291461e-20
0.465100     1.521528e-25  2.040549e-22  3.520565e-21  1.180218e-19
0.652400     2.458546e-25  2.818259e-22  4.765874e-21  1.498091e-19
0.915100     3.824451e-25  3.855573e-22  6.405878e-21  1.902538e-19
1.283650     5.288752e-25  5.130189e-22  8.461883e-21  2.430174e-19
1.800600     6.575779e-25  6.683840e-22  1.104120e-20  3.131747e-19
2.525700     7.942138e-25  8.702941e-22  1.440324e-20  4.058819e-19
3.542800     9.539875e-25  1.138307e-21  1.882723e-20  5.275038e-19
4.969550     1.147150e-24  1.496168e-21  2.464358e-20  6.854147e-19
6.970850     1.388497e-24  1.974205e-21  3.224019e-20  8.859788e-19
9.778100     1.692266e-24  2.613173e-21  4.209635e-20  1.134444e-18
13.715850    2.063365e-24  3.461217e-21  5.466372e-20  1.429556e-18
19.239350    2.518298e-24  4.581704e-21  7.037213e-20  1.756904e-18
26.987250    3.131338e-24  6.068249e-21  8.973245e-20  2.081653e-18
37.855300    3.981835e-24  8.030104e-21  1.129190e-19  2.349054e-18
53.100050    5.082525e-24  1.058594e-20  1.393197e-19  2.498547e-18
73.887501    6.459506e-24  1.380017e-20  1.670315e-19  2.482643e-18
97.662502    8.060436e-24  1.723107e-20  1.911900e-19  2.338909e-18
121.437500   9.744978e-24  2.047131e-20  2.098392e-19  2.158948e-18
145.212500   1.137601e-23  2.352390e-20  2.239085e-19  1.979511e-18
168.987500   1.316327e-23  2.646262e-20  2.351948e-19  1.816557e-18
192.762500   1.575931e-23  2.943589e-20  2.462166e-19  1.678749e-18
216.537500   1.933798e-23  3.244855e-20  2.570315e-19  1.562736e-18
240.312500   2.337440e-23  3.535513e-20  2.659038e-19  1.459505e-18
264.087500   2.770221e-23  3.814454e-20  2.728853e-19  1.367324e-18
287.862500   3.229778e-23  4.083009e-20  2.783357e-19  1.285170e-18
311.637500   3.714278e-23  4.341685e-20  2.825087e-19  1.211734e-18
335.412490   4.222027e-23  4.590943e-20  2.856140e-19  1.145858e-18
359.187500   4.751309e-23  4.831196e-20  2.878242e-19  1.086538e-18
382.962510   5.300282e-23  5.062806e-20  2.892815e-19  1.032912e-18
406.737500   5.864567e-23  5.284174e-20  2.899973e-19  9.838902e-19
430.512500   6.442759e-23  5.497087e-20  2.901585e-19  9.391916e-19
454.287490   7.032301e-23  5.702146e-20  2.898649e-19  8.983435e-19
478.062500   7.631021e-23  5.899653e-20  2.891889e-19  8.608908e-19
501.837490   8.238066e-23  6.089958e-20  2.881979e-19  8.264508e-19
525.612490   8.853544e-23  6.273431e-20  2.869517e-19  7.946964e-19
549.387510   9.477743e-23  6.450412e-20  2.855003e-19  7.653435e-19
573.162510   1.011067e-22  6.621199e-20  2.838839e-19  7.381428e-19
596.937500   1.075213e-22  6.786058e-20  2.821351e-19  7.128759e-19
620.712490   1.140178e-22  6.945232e-20  2.802809e-19  6.893512e-19
644.487490   1.205914e-22  7.098943e-20  2.783436e-19  6.674007e-19
668.262510   1.272177e-22  7.246261e-20  2.762983e-19  6.467743e-19
692.037510   1.338968e-22  7.387757e-20  2.741784e-19  6.273883e-19
715.812500   1.406359e-22  7.524380e-20  2.720264e-19  6.091968e-19
739.587490   1.474266e-22  7.656306e-20  2.698528e-19  5.920955e-19
763.362490   1.542542e-22  7.783682e-20  2.676653e-19  5.759909e-19
787.137510   1.610888e-22  7.906618e-20  2.654679e-19  5.607984e-19
810.912510   1.678683e-22  8.025141e-20  2.632588e-19  5.464396e-19
834.687500   1.744915e-22  8.139201e-20  2.610310e-19  5.328419e-19
858.462490   1.808602e-22  8.248770e-20  2.587799e-19  5.199416e-19
882.237490   1.869502e-22  8.354000e-20  2.565125e-19  5.076885e-19
906.012510   1.928242e-22  8.455218e-20  2.542462e-19  4.960429e-19
929.787510   1.985678e-22  8.552773e-20  2.519985e-19  4.849690e-19
953.562500   2.042402e-22  8.646931e-20  2.497802e-19  4.744313e-19
977.337490   2.098715e-22  8.737879e-20  2.475971e-19  4.643952e-19
1001.112500  2.154759e-22  8.825765e-20  2.454520e-19  4.548277e-19
